LogTest.txt,
14160504,-15
14162968,-7
14165396,0
14167844,-3
14170296,-3
14172748,-3
14175208,-7
log,
14225764,-15
14228228,-15
14230708,-11
14233188,-11
14235680,-11
14238148,-15
14240584,0
14243048,-11
14245500,-3
14247960,-3
log,
14301332,-11
14303800,-11
14306284,-11
14308768,-11
14311228,-7
14313704,-11
14316172,-15
14318636,-7
14321092,-3
14323540,-3
log,
14376908,-15
14379376,-7
14381852,-11
14384340,-15
14386820,-15
14389312,-15
14391768,-7
14394232,-15
14396708,-15
14399176,-15
log,
14456956,-11
14459432,-11
14461896,-3
14464352,-7
14466808,-3
14469280,-11
14471736,-3
14474204,-11
14476664,-7
14479128,-11
log,
14531920,-7
14534384,-11
14536852,-3
14539304,-3
14541756,0
14544224,-11
14546680,-7
14549116,0
14551564,-3
14554016,-3
log,
14604004,-11
14606468,-7
14608936,-15
14611416,-11
14613868,0
14616324,-7
14618796,-11
14621260,-11
14623720,-7
14626172,-3
log,
14678416,-15
14680880,-11
14683356,-15
14685828,-11
14688308,-15
14690772,-11
14693240,-11
14695716,-11
14698184,-11
14700664,-15
log,
14759548,-15
14762012,-7
14764468,-7
