myTest.txt			freq	dt		
1932704	-191		339.2130258	0.002948		-1.91
1935656	-229		338.7533875	0.002952		-2.29
1938604	-191		339.2130258	0.002948		-1.91
1941556	-191		338.7533875	0.002952		-1.91
1944508	-191		338.7533875	0.002952		-1.91
1947464	-229		338.2949932	0.002956		-2.29
1950420	-153		338.2949932	0.002956		-1.53
1953372	-229		338.7533875	0.002952		-2.29
1956320	-229		339.2130258	0.002948		-2.29
1959272	-153		338.7533875	0.002952		-1.53
1962224	-153		338.7533875	0.002952		-1.53
1965180	-191		338.2949932	0.002956		-1.91
1968136	-191		338.2949932	0.002956		-1.91
1971088	-191		338.7533875	0.002952		-1.91
1974040	-191		338.7533875	0.002952		-1.91
1978824	-191		209.0301003	0.004784		-1.91
1981776	-153		338.7533875	0.002952		-1.53
1984732	-153		338.2949932	0.002956		-1.53
1987680	-191		339.2130258	0.002948		-1.91
1990632	-153		338.7533875	0.002952		-1.53
1993584	-153		338.7533875	0.002952		-1.53
1996532	-229		339.2130258	0.002948		-2.29
1999480	-153		339.2130258	0.002948		-1.53
2002432	-153		338.7533875	0.002952		-1.53
2005384	-191		338.7533875	0.002952		-1.91
2008332	-229		339.2130258	0.002948		-2.29
2011284	-191		338.7533875	0.002952		-1.91
2014236	-191		338.7533875	0.002952		-1.91
2017192	-153		338.2949932	0.002956		-1.53
2020148	-191		338.2949932	0.002956		-1.91
2023100	-191		338.7533875	0.002952		-1.91
2026052	-153		338.7533875	0.002952		-1.53
2029000	-191		339.2130258	0.002948		-1.91
2031956	-191		338.2949932	0.002956		-1.91
2034908	-153		338.7533875	0.002952		-1.53
2037860	-191		338.7533875	0.002952		-1.91
2040808	-191		339.2130258	0.002948		-1.91
2043760	-191		338.7533875	0.002952		-1.91
2046712	-153		338.7533875	0.002952		-1.53
2049660	-191		339.2130258	0.002948		-1.91
2052608	-191		339.2130258	0.002948		-1.91
2055552	-191		339.673913	0.002944		-1.91
2058500	-229		339.2130258	0.002948		-2.29
2061444	-229		339.673913	0.002944		-2.29
2064396	-153		338.7533875	0.002952		-1.53
2067348	-191		338.7533875	0.002952		-1.91
2070292	-229		339.673913	0.002944		-2.29
2073244	-153		338.7533875	0.002952		-1.53
2076192	-153		339.2130258	0.002948		-1.53
2080984	-191		208.6811352	0.004792		-1.91
2083928	-191		339.673913	0.002944		-1.91
2086872	-191		339.673913	0.002944		-1.91
2089828	-229		338.2949932	0.002956		-2.29
2092776	-153		339.2130258	0.002948		-1.53
2095732	-153		338.2949932	0.002956		-1.53
2098688	-153		338.2949932	0.002956		-1.53
