Time, Unfiltered, Filtered 
4.5,-8.72954e-005,0.0118241
4.51,-1.73848,0.0118241
4.52,-3.35388,0.0118241
4.53,-4.73518,0.0118241
4.54,-5.79379,0.0118241
4.55,-6.47216,0.0118241
4.56,-6.74923,0.0118241
4.57,-6.64229,0.0118241
4.58,-6.20514,0.0118241
4.59,-5.52264,0.0118241
4.6,-4.70224,0.0118241
4.61,-3.86328,0.0118241
4.62,-3.1252,0.0118241
4.63,-2.59566,0.0118241
4.64,-2.35988,0.0118241
4.65,-2.47215,0.0118241
4.66,-2.95043,0.0118241
4.67,-3.77444,0.0118241
4.68,-4.88754,0.0118241
4.69,-6.20222,0.0118241
4.7,-7.60853,0.0118241
4.71,-8.9848,0.0118241
4.72,-10.2095,0.0118241
4.73,-11.173,0.0118241
4.74,-11.7885,0.0118241
4.75,-12,0.0118241
4.76,-11.7884,0.0118241
4.77,-11.1729,0.0118241
4.78,-10.2094,0.0118241
4.79,-8.98466,0.0118241
4.8,-7.60838,0.0118241
4.81,-6.20207,0.0118241
4.82,-4.88741,0.0118241
4.83,-3.77433,0.0118241
4.84,-2.95036,0.0118241
4.85,-2.47212,0.0118241
4.86,-2.35988,0.0118241
4.87,-2.5957,0.0118241
4.88,-3.12527,0.0118241
4.89,-3.86337,0.0118241
4.9,-4.70233,0.0118241
4.91,-5.52272,0.0118241
4.92,-6.2052,0.0118241
4.93,-6.64232,0.0118241
4.94,-6.74922,0.0118241
4.95,-6.47211,0.0118241
4.96,-5.7937,0.0118241
4.97,-4.73505,0.0118241
4.98,-3.35372,0.0118241
4.99,-1.7383,0.0118241
5,9.69948e-005,0.0118241
5.01,1.73849,0.0118241
5.02,3.35389,0.0118241
5.03,4.73519,0.0118241
5.04,5.79379,0.0118241
5.05,6.47216,0.0118241
5.06,6.74923,0.0118241
5.07,6.64229,0.0118241
5.08,6.20514,0.0118241
5.09,5.52264,0.0118241
5.1,4.70223,0.0118241
5.11,3.86328,0.0118241
5.12,3.1252,0
